market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
FR,20.82,0.98,0.04707,504816871181128,DeepBI_0509_L02_overstock,449528966392770,DeepBI_0509_L02,LPL16SS00020BLK0XSB1,DeepBI_0507_L02_overstock,DeepBI_0507_DeepBI_0509_L02
FR,20.82,0.03,0.001441,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW0015LTBR2XLR1V2,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,20.82,0.19,0.009126,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052BURY00LA1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,20.82,0.26,0.012488,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052BURY00LB1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,20.82,0.23,0.011047,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052OFWH00SB1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,20.82,0.09,0.004323,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052OFWH2XLA1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,20.0,0.11,0.0055,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT200LR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,20.0,0.12,0.006,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT22XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,19.99,0.1,0.005003,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW00150BLK00LR1-19Y,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,19.99,0.06,0.003002,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW00150BLK2XLR2,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,19.99,0.13,0.006503,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW0015PPL200LR1,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,19.99,0.14,0.007004,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW0015PPL200MR1,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,19.78,0.54,0.0273,559286178488901,DeepBI_0509_L01_overstock,476226681767570,DeepBI_0509_L01,LPL16SS0001OFWH2XLA1,DeepBI_0507_L01_overstock,DeepBI_0507_DeepBI_0509_L01
FR,19.78,0.21,0.010617,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052OLDB0XSA1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,18.79,0.22,0.011708,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052BURY00SA1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,18.79,0.14,0.007451,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052DHGY2XLB1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,18.32,1.4,0.076419,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BKHG0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,18.32,1.31,0.071507,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BKWH00SR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,18.32,1.74,0.094978,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BLBU0XLR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,18.32,1.35,0.07369,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039DGNB00SR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,18.32,1.41,0.076965,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039NBRD0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,18.04,0.21,0.011641,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052STBL00MB1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,17.41,0.23,0.013211,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052STBL0XSA1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,0.0,0.01,,346362579978996,DeepBI_0509_K01,370686358313691,DeepBI_0509_K01_category,LPK17SS0001MT0100MR4,DeepBI_0507_K01,DeepBI_0507_DeepBI_0509_K01_category
FR,0.0,0.05,,346362579978996,DeepBI_0509_K01,370686358313691,DeepBI_0509_K01_category,LPK17SS0001MT012XSR4,DeepBI_0507_K01,DeepBI_0507_DeepBI_0509_K01_category
FR,0.0,0.04,,346362579978996,DeepBI_0509_K01,370686358313691,DeepBI_0509_K01_category,LPK17SS0001MT0800MR4,DeepBI_0507_K01,DeepBI_0507_DeepBI_0509_K01_category
FR,0.0,0.01,,346362579978996,DeepBI_0509_K01,370686358313691,DeepBI_0509_K01_category,LPK17SS0001MT102XLR4,DeepBI_0507_K01,DeepBI_0507_DeepBI_0509_K01_category
FR,0.0,0.03,,346362579978996,DeepBI_0509_K01,370686358313691,DeepBI_0509_K01_category,LPK17SS0001MUT82XSR4,DeepBI_0507_K01,DeepBI_0507_DeepBI_0509_K01_category
FR,0.0,0.16,,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS00190WHI2XLA1-23V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,0.0,0.08,,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019DHGY0XLR1-23V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,0.0,0.06,,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019LBLU00SA1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,0.0,0.07,,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019LBLU0XLA1-23V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,0.0,0.1,,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360NAY0XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,0.0,0.18,,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS00360NAY3XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,0.0,0.06,,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT100LR4V5,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,0.0,0.08,,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT10XLR4V4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,0.0,0.1,,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT13XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
